Date,Open,High,Low,Close,Adj Close,Volume
2022-03-09,9.920000,9.920000,9.900000,9.900000,9.900000,1600
2022-03-10,9.920000,9.920000,9.920000,9.920000,9.920000,1700
2022-03-11,9.880000,9.895000,9.870000,9.871000,9.871000,1200
2022-03-14,9.880000,9.880000,9.880000,9.880000,9.880000,200
2022-03-15,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-03-16,9.905000,9.905000,9.905000,9.905000,9.905000,200
2022-03-17,9.880000,9.900000,9.880000,9.900000,9.900000,300
2022-03-18,9.900000,9.900000,9.900000,9.900000,9.900000,0
